Espécies,Coloração,C.P. escutelares,C.escutelares,C.cuneiformis,Pentes sexuais,I. costal,Mesonoto cor,Mesonoto brilho/fosco,Faixas tergitos fêmeas (espessura e coloração),colaração escura últimos tergitos (macho),Faixas tergitos interrompidas,Mancha nos últimos  tergitos macho,Mancha nos últimos  tergitos femea,Veias transversais enfumaçadas
D. ananassae,amarela,não,convergente,não,sim,"1,6",castanho (mel),brilho,finas (claras),não,não,não,não,não
D. kikkawai,amarela,não,convergente,não,sim,"1,9",castanho (mel),brilho,finas (escuras),não,não,não,não,não
D. malerkotliana,amarela,não,convergente,não,sim,"1,6",castanho (mel),brilho,finas (escuras),sim,não,não,não,não
D. melanogaster,amarela,não,convergente,não,sim,"2,2",castanho (mel),brilho,finas (escuras),sim,não,não,não,não
D. simulans,amarela,não,convergente,não,sim,"2,2",castanho (mel),brilho,finas (escuras),sim,não,não,não,não
D. suzukii,amarela,não,convergente,não,sim,3,castanho (mel),brilho,finas (escuras),sim,não,não,não,mancha no macho
D. nasuta,amarela,não,convergente,sim,não,"3,1",castanho ,brilho,finas (claras),não,sim,não,não,não
D. immigrans,amarela,não,convergente,sim,não,4,castanho ,brilho,finas (escuras),não,sim,não,não,sim
D. busckii,amarela,não,convergente,não,não,3,castanho ,brilho,grossas (escuras) ,não,sim,não,não,não
D. cardini,amarela,não,convergente,não,não,"3,8",castanho (escuro),fosco,,,sim,não,não,sim
D. neocardini,amarela,não,convergente,não,não,"3,8",castanho,brilho,,,sim,sim (quadrada),não,não
D. polymorpha,amarela,não,convergente,não,não,"3,5",castanho,brilho,grossas (escuras) ,sim,sim,não,não,não
D. bocainensis,amarela,não,divergente,não,não,"3,2",castanho (escuro) ,fosco,grossas (escuras),sim,não,não,não,sim
D. capricorni,amarela,não,divergente,não,não,"2,6",castanho (escuro) ,brilho,finas (escuras),não,não ,não,não,não
D. nebulosa,amarela,não,divergente,não,não,"2,5",castanho (mel),brilho,finas (escuras),não,não,não,não,sim
D. paulistorum,amarela,não,divergente,não,não,"2,2",castanho claro,brilho,finas (escuras),não,não,não,não,não
D. mediopicta,amarela,não,divergente,não,não,4,castanho claro,brilho,finas (escuras),não,sim,sim,não,não
D. mediostriata,amarela,não,divergente,não,não,"3,3",castanho escuro,brilho,grossas (escuras),não,sim,sim,não,não
D. nappae,amarela,não,divergente,não,não,"4,5",castanho escuro,brilho,grossas (escuras),não,sim ,não,não,sim
D. paramediostriata,amarela,não,divergente,sim,não,4,castanho ,brilho,grossas (escuras),não,sim,sim,não,sim
D. antonietae,escura,não,convergente,não,não,3,castanho (pintas individualizadas),fosco,grossas (escuras),não,sim,não,não,não
D. buzzatii,escura,não,convergente,não,não,3,castanho (pintas individualizadas),fosco,grossas (escuras),não,sim,não,não,não
D. hydei,escura,não,convergente,não,não,3,castanho (pintas individualizadas),fosco,grossas (escuras),não,sim,não,não,não
D. mercatorum,escura,não,convergente,não,não,3,castanho (pintas individualizadas),fosco,grossas (escuras),não,sim,não,não,não
D. paranaensis,escura,não,convergente,não,não,3,castanho (pintas individualizadas),fosco,grossas (escuras),não,sim,não,não,não
D. senei,escura,não,convergente,não,não,3,castanho (pintas individualizadas),fosco,grossas (escuras),não,sim,não,não,não
D. butantan,acastanhada,não,divergente,não,não,3,marrom (escuro),fosco(polinoso),grossas (escuras),sim,sim,não,não,não
D. griseolineata,acastanhada,não,divergente,sim,não,"3,8",castanho (claro),fosco(polinoso),finas (escuras),não,sim,não,sim,sim
D. guaraja,acastanhada,não,divergente,não,não,3,castanho (escuro),fosco(polinoso),grossas (escuras),não,sim,não,não,sim
D. guaru,acastanhada,não,divergente,não,não,"4,5",castanho (claro),fosco(polinoso),finas (escuras),não,sim,não,não,sim
D. maculifrons,acastanhada,não,divergente,não,não,"3,5",castanho (escuro),fosco(polinoso),finas  (escuras),não,não ,não,não,sim
D. ornatifrons,acastanhada,não,divergente,não,não,"4,6",castanho (com faixas longitudinais),fosco(polinoso),finas (escuras),não,sim,não,não,sim
D. annulimana,escura,sim,convergente,não,não,"3,3",fundo claro pintas individualizadas,fosco,grossas (escuras),não,não,não,não,sim
D. ararama,escura,não,convergente,não,não,3,fundo claro pintas individualizadas,fosco,grossas (escuras),não,não,não,não,sim
D. arapuan,escura,,divergente,não,não,4,fundo claro pintas individualizadas,fosco,grossas (escuras),não,não,não,não,não
D. atalaia,escura,não,convergente,não,não,"2,5", castanho (pintas no ponto de inserção das cerdas,fosco,finas (escuras),não,não,não,não,não
D. sturtevanti,escura,não,divergente,não,não,"2,2",faixas individualizadas,fosco,grossas (escuras),não,não,não ,sim,não
D.lehrmanae,escura,não,divergente,não,não,"2,2",faixas individualizadas,fosco,grossas (escuras),não,não,não ,sim,não
D.dacunhai,escura,não,divergente,não,não,"2,2",faixas individualizadas,fosco,grossas (escuras),não,não,não ,sim,não
D.milleri,escura,não,divergente,não,não,"2,2",faixas individualizadas,fosco,grossas (escuras),não,não,não ,sim,não
D.magalhaesis,escura,não,divergente,não,não,"2,2",faixas individualizadas,fosco,grossas (escuras),não,não,não ,sim,não
D.prosaltans,escura,não,divergente,não,não,2,faixas individualizadas com uma mancha entre elas,fosco,grossas (escuras),não,não,não,sim,não
D.austrosaltans,escura,não,divergente,não,não,2,faixas individualizada e sem mancha entre elas,fosco,grossas (escuras),não,não,não,sim,não
D.pseudosaltans,escura,não,divergente,não,não,2,faixas individualizadas,fosco,grossas (escuras),não,não,não,sim,não
D.emarginata,escura,não,divergente,não,não,"2,2",castanho mel,fosco,grossas (escuras),não,não,não,sim,não
D.neoelliptica,escura,não,divergente,não,não,"2,3", castanho mel,fosco,grossas (escuras),sim,não,não,sim,não
D.neosaltans,escura,não,divergente,não,não,2,castanho,fosco,grossas (escuras),não,não,não,sim,não
D. virilis,escura,não,divergente,não,não,,pintas individualizadas,fosco,grossas (escuras),não ,não,não ,não,não
D. pallidipennis,amarela,sim,divergente,não,não,6, castanho (mel),fosco,finas (claras),não,sim,não,não,não
S. latifasciaeformis,amarela,sim,convergente,não,não,"1,5", castanho  (mel),brilho,grossas (escuras),sim,não,não,não,não
Z. indianus,amarela,sim,convergente,não,não,"2,4",faixas brancas contornadas por faixas longitudinas pretas,brilho,finas (claras),não,não,não,não,não
Z.tuberculatus,amarela,sim,convergente,não,não,3,faixas brancas contornadas por faixas longitudinas pretas,brilho,finas (claras),não,não ,não,não,não
